Company,File No,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Claim Delays,Claim Settled,Provider Issue,3826.7,Closed
"Anthem Health Plans, Inc",{'': 7045619},2022-06-01,2022-06-23,Group,Health Only,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,A & H,Claim Handling,Claim Delay,Claim Settled,Provider Issue,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,3743.34,Closed
"ConnectiCare Insurance Company, Inc",{'': 7042436},2022-01-26,2022-12-15,A & H,Health Only,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,31764.64,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,Health Only,Claim Handling,Claim Delays,Claim Settled,Provider Issue,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7042804},2022-02-08,2022-06-23,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,1761.5,Closed
"Anthem Health Plans, Inc",{'': 7052003},2023-02-23,2023-05-03,A & H,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid With Interest,3826.7,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,A & H,Claim Handling,Claim Delay,Claim Settled,Provider Issue,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,Health Only,Claim Handling,Claim Delays,Claim Settled,Claim Paid,3743.34,Closed
"ConnectiCare Insurance Company, Inc",{'': 7042436},2022-01-26,2022-12-15,Group,A & H,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,31764.64,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,A & H,Claim Handling,Claim Denial,Referred to Another State’s Dept of Insurance,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,A & H,Claim Handling,Claim Delay,Claim Settled,Claim Paid,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid,3743.34,Closed
"ConnectiCare Insurance Company, Inc",{'': 7042436},2022-01-26,2022-12-15,Group,Health Only,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,31764.64,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Provider Issue,3743.34,Closed
"ConnectiCare Insurance Company, Inc",{'': 7049510},2022-11-17,2022-12-05,Individual,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,2408.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,3743.34,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,Group,Health Only,Claim Handling,Claim Delays,Claim Settled,Claim Paid,3743.34,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,Individual,Health Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052995},2023-03-28,2023-05-03,A & H,Health Only,Claim Handling,Claim Delay,Claim Settled,Claim Paid,3743.34,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,Individual,Exchange,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044267},2022-04-07,2022-06-28,Individual,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,742.49,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,A & H,Health Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,Individual,Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,A & H,Health Only,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044267},2022-04-07,2022-06-28,A & H,Health Only,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,742.49,Closed
"ConnectiCare Benefits, Inc.",{'': 7044267},2022-04-07,2022-06-28,A & H,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,742.49,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,A & H,Health Only,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,A & H,Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,A & H,Exchange,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,Individual,Health Only,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,Individual,Health Only,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,Individual,Health Exchange,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043309},2022-02-24,2022-06-28,A & H,Health Exchange,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044267},2022-04-07,2022-06-28,Individual,Health Only,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,742.49,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,A & H,Claim Handling,Denial,Referred to Another State’s Dept of Insurance,Contract Provision,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7006148},2021-08-24,2021-11-18,A & H,A & H,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Corrective Action,1883.1,Closed
UnitedHealthcare Insurance Company,{'': 7006148},2021-08-24,2021-11-18,Individual,A & H,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Corrective Action,1883.1,Closed
UnitedHealthcare Insurance Company,{'': 7006148},2021-08-24,2021-11-18,A & H,Dental,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Corrective Action,1883.1,Closed
UnitedHealthcare Insurance Company,{'': 7006148},2021-08-24,2021-11-18,Individual,Dental,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Corrective Action,1883.1,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,A & H,Exchange,Claim Handling,Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,A & H,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,Individual,Health Exchange,Claim Handling,Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,Individual,Health Only,Claim Handling,Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,A & H,Health Exchange,Claim Handling,Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,Group,Dental,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,Group,A & H,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,Health Only,Claim Handling,Claim Denial,Referred to Another State’s Dept of Insurance,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052412},2023-03-09,2023-03-24,A & H,A & H,PolicyHolder Service,Coverage Question,Question of Fact/Contract/Provision/Legal Issue,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,Group,Dental,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,Individual,Exchange,Claim Handling,Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,A & H,Health Only,Claim Handling,Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,A & H,A & H,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,Individual,A & H,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,A & H,A & H,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,Individual,A & H,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7042896},2022-02-10,2022-03-08,Group,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,554.52,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,Group,Dental,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7042870},2022-02-09,2022-04-01,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,Group,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052412},2023-03-09,2023-03-24,A & H,Health Only,PolicyHolder Service,Coverage Question,Question of Fact/Contract/Provision/Legal Issue,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,A & H,Dental,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052412},2023-03-09,2023-03-24,A & H,A & H,PolicyHolder Service,Policy Information,Question of Fact/Contract/Provision/Legal Issue,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,Group,A & H,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7043344},2022-02-25,2022-03-10,Group,Pharmacy Benefits,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041792},2022-01-02,2022-02-23,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,486.02,Closed
UnitedHealthcare Insurance Company,{'': 7041792},2022-01-02,2022-02-23,Group,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,486.02,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,A & H,Health Only,Claim Handling,Claim Delays,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041792},2022-01-02,2022-02-23,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,486.02,Closed
UnitedHealthcare Insurance Company,{'': 7041792},2022-01-02,2022-02-23,Group,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,486.02,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,Group,A & H,Claim Handling,Claim Delays,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044212},2022-04-05,2022-04-18,A & H,A & H,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044212},2022-04-05,2022-04-18,Group,A & H,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,Health Only,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,Individual,Health Only,Claim Handling,Denial,Referred to Another State’s Dept of Insurance,Contract Provision,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044212},2022-04-05,2022-04-18,A & H,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044212},2022-04-05,2022-04-18,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,A & H,A & H,Claim Handling,Claim Delay,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044062},2022-03-30,2022-04-06,Group,Health Only,Claim Handling,Medically Necessary,Company Position Overturned,Coverage Granted,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044503},2022-04-19,2022-05-18,A & H,A & H,Claim Handling,Claim Handling Other,Company Position Overturned,Claim Paid,1021.5,Closed
UnitedHealthcare Insurance Company,{'': 7044503},2022-04-19,2022-05-18,Group,A & H,Claim Handling,Claim Handling Other,Company Position Overturned,Claim Paid,1021.5,Closed
UnitedHealthcare Insurance Company,{'': 7044503},2022-04-19,2022-05-18,A & H,Health Only,Claim Handling,Claim Handling Other,Company Position Overturned,Claim Paid,1021.5,Closed
UnitedHealthcare Insurance Company,{'': 7044503},2022-04-19,2022-05-18,Group,Health Only,Claim Handling,Claim Handling Other,Company Position Overturned,Claim Paid,1021.5,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,A & H,Dental,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052412},2023-03-09,2023-03-24,A & H,Health Only,PolicyHolder Service,Policy Information,Question of Fact/Contract/Provision/Legal Issue,Furnished Information,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,A & H,A & H,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,Individual,A & H,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,A & H,Health Only,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,Individual,Health Only,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,Group,A & H,Claim Handling,Claim Delay,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,A & H,Medicare Supplement(Policies or Certs),Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,Individual,Medicare Supplement(Policies or Certs),Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054344},2023-05-16,2023-06-16,A & H,A & H,Claim Handling,Denial,Referred to Another State’s Dept of Insurance,Contract Provision,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,A & H,Health Only,Claim Handling,Claim Delay,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,Group,Health Only,Claim Handling,Claim Delay,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7046190},2022-06-29,2022-07-05,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,A & H,A & H,Claim Handling,Claim Delays,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045219},2022-05-16,2022-05-19,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051893},2023-02-20,2023-03-24,Group,Health Only,Claim Handling,Claim Delays,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,A & H,A & H,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,A & H,Dental,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,A & H,A & H,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7051101},2023-01-24,2023-06-20,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Overturned,Enter Arbitration,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7052137},2023-02-28,2023-06-20,Group,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050797},2023-01-17,2023-03-24,A & H,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7054965},2023-06-07,2023-06-20,Group,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7052137},2023-02-28,2023-06-20,A & H,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7046240},2022-06-30,2022-07-06,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,A & H,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,A & H,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid,881.1,Closed
"ConnectiCare Insurance Company, Inc",{'': 7047568},2022-08-30,2022-12-19,Individual,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7054965},2023-06-07,2023-06-20,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Provider Issue,881.1,Closed
UnitedHealthcare Insurance Company,{'': 7049638},2022-11-23,2022-12-19,Group,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7052137},2023-02-28,2023-06-20,A & H,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7051459},2023-02-06,2023-03-27,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,Group,A & H,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,881.1,Closed
UnitedHealthcare Insurance Company,{'': 7052814},2023-03-21,2023-03-27,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7049638},2022-11-23,2022-12-19,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7052137},2023-02-28,2023-06-20,Group,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7051459},2023-02-06,2023-03-27,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,881.1,Closed
"ConnectiCare Insurance Company, Inc",{'': 7047568},2022-08-30,2022-12-19,A & H,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,Group,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,881.1,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,881.1,Closed
"Oxford Health Plans (CT), Inc",{'': 7051459},2023-02-06,2023-03-27,A & H,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7053474},2023-04-17,2023-05-05,A & H,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7046296},2022-07-05,2022-07-08,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7053908},2023-05-01,2023-05-05,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7053908},2023-05-01,2023-05-05,Group,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7053474},2023-04-17,2023-05-05,Group,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7049638},2022-11-23,2022-12-19,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7053474},2023-04-17,2023-05-05,Group,A & H,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7053474},2023-04-17,2023-05-05,Group,A & H,Claim Handling,CPT Code Issue,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7053908},2023-05-01,2023-05-05,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7047568},2022-08-30,2022-12-19,Individual,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,Group,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,881.1,Closed
UnitedHealthcare Insurance Company,{'': 7054965},2023-06-07,2023-06-20,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7051459},2023-02-06,2023-03-27,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7051931},2023-02-22,2023-03-27,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Provider Issue,881.1,Closed
